time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/value_loss,train/approx_kl
14,141,2048,-214.1,201.0,1,,,,,,,,,,
12,333,4096,-206.52380952380952,193.28571428571428,2,1e-05,-4.615081107616424,0.0,-0.0019270819320809096,153.4778289794922,-0.02865135669708252,0.2,10,282.6895129203796,6.501985e-05
11,532,6144,-203.78125,190.84375,3,1e-05,-4.615016838908195,0.0,-0.001515765980730066,138.36929321289062,-0.008871912956237793,0.2,20,283.8150267124176,4.9492955e-05
11,723,8192,-202.8139534883721,189.65116279069767,4,1e-05,-4.6149714037775995,0.0,-0.002215661983791506,147.055419921875,0.009776294231414795,0.2,30,283.0893685340881,9.977067e-05
11,910,10240,-204.20754716981133,191.79245283018867,5,1e-05,-4.614892402291298,0.0,-0.00196377450338332,136.93235778808594,0.0007259845733642578,0.2,40,286.97400188446045,6.688031e-05
11,1101,12288,-203.546875,191.421875,6,1e-05,-4.614816032350063,0.0,-0.001684134682000149,139.7520294189453,-0.003003835678100586,0.2,50,270.1744966030121,6.555018e-05
11,1293,14336,-202.42666666666668,190.65333333333334,7,1e-05,-4.614754284918308,0.0,-0.0013726451303227804,149.00070190429688,-0.00621342658996582,0.2,60,276.0844941139221,3.955266e-05
11,1483,16384,-201.59302325581396,190.08139534883722,8,1e-05,-4.614686080813408,0.0,-0.0018382356225629336,139.08663940429688,0.016227662563323975,0.2,70,273.02400069236757,7.204668e-05
10,1677,18432,-200.98969072164948,189.63917525773195,9,1e-05,-4.614617089927196,0.0,-0.001275679040918476,135.5048065185547,-0.022908568382263184,0.2,80,272.8449461936951,4.4978544e-05
11,1861,20480,-199.64,188.35,10,1e-05,-4.61457546800375,0.0,-0.0013893199429730885,134.63499450683594,0.04645901918411255,0.2,90,274.96499557495116,3.5334233e-05
10,2052,22528,-199.42,188.34,11,1e-05,-4.614487551152706,0.0,-0.0015057420168886892,141.4243621826172,0.003543853759765625,0.2,100,277.99076867103577,5.6380784e-05
10,2245,24576,-199.3,188.34,12,1e-05,-4.614427101612091,0.0,-0.0019731159991351888,148.6457061767578,-0.009416460990905762,0.2,110,281.6603180885315,8.1785576e-05
10,2437,26624,-199.27,188.34,13,1e-05,-4.614375455677509,0.0,-0.0011422454452258534,138.64987182617188,-0.017672181129455566,0.2,120,279.7290839195251,2.868331e-05
10,2630,28672,-197.68,186.71,14,1e-05,-4.6143141612410545,0.0,-0.0017598447637283243,131.8905792236328,0.004877030849456787,0.2,130,280.4078275680542,6.138967e-05
10,2826,30720,-197.34,186.33,15,1e-05,-4.614271701872349,0.0,-0.001556211490969872,131.3544464111328,-0.00289762020111084,0.2,140,279.6071284770966,4.862022e-05
10,3012,32768,-197.28,186.33,16,1e-05,-4.6142274141311646,0.0,-0.0017585034569492564,140.67820739746094,-0.027976036071777344,0.2,150,279.1008786201477,6.845212e-05
10,3202,34816,-197.18,186.33,17,1e-05,-4.614128756523132,0.0,-0.001565481249417644,139.7786407470703,-0.008481025695800781,0.2,160,271.72704510688783,6.187562e-05
10,3391,36864,-197.09,186.33,18,1e-05,-4.614029394090176,0.0,-0.0015699823467002715,139.0043182373047,-0.0048635005950927734,0.2,170,270.1471979141235,6.0667982e-05
10,3581,38912,-197.25,186.33,19,1e-05,-4.613925458490849,0.0,-0.0012095803664124104,132.53546142578125,-0.007327914237976074,0.2,180,271.29866576194763,3.5008357e-05
10,3774,40960,-196.75,186.33,20,1e-05,-4.6139082431793215,0.0,-0.0015680367243476212,138.81393432617188,-0.00821375846862793,0.2,190,279.54928584098815,6.184002e-05
10,3964,43008,-196.84,186.33,21,1e-05,-4.613930851221085,0.0,-0.0019040332255826798,128.91302490234375,-0.021309494972229004,0.2,200,269.35300903320314,6.739673e-05
10,4150,45056,-196.62,186.33,22,1e-05,-4.613887143135071,0.0,-0.0015110015039681457,143.22227478027344,-0.04158222675323486,0.2,210,286.04625234603884,4.870273e-05
10,4338,47104,-196.71,186.33,23,1e-05,-4.6138370633125305,0.0,-0.0012891870755993295,129.7149658203125,-0.00023436546325683594,0.2,220,272.05134043693545,4.7560083e-05
10,4530,49152,-196.67,186.33,24,1e-05,-4.61374506354332,0.0,-0.0013591111171990633,142.6934356689453,-0.011087179183959961,0.2,230,279.18878803253176,4.47107e-05
10,4715,51200,-196.77,186.33,25,1e-05,-4.6137207597494125,0.0,-0.0019207408608053812,135.89601135253906,0.002130746841430664,0.2,240,278.1925317764282,8.9251495e-05
