time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss
14,2048,-183.8843016,140,201.0,1,,,,,,,,,,
12,4096,-177.07458414285716,327,193.28571428571428,2,1e-05,10,5.1908544e-05,99.91417694091797,-4.615081621706485,-0.02051067352294922,0.2,0.0,-0.0015632787290087435,207.20981578826905
11,6144,-174.20374275,518,190.84375,3,1e-05,20,6.3351996e-05,98.58049011230469,-4.615021938085556,-0.012249112129211426,0.2,0.0,-0.0018233360315207392,208.4460060596466
11,8192,-172.86694041860466,713,189.65116279069767,4,1e-05,30,7.621836e-05,104.4070816040039,-4.6149469628930095,-0.08514750003814697,0.2,0.0,-0.001730718779435847,203.5448938369751
11,10240,-172.82753642592593,895,188.94444444444446,5,1e-05,40,4.643493e-05,108.85957336425781,-4.6148761585354805,0.09526318311691284,0.2,0.0,-0.0014187043423589784,202.86019582748412
