,angle,angle_velocity,position,position_velocity,reward,time
0,3.141592653589793,0.0,-1700.0,-50000.0,-1.0,1713342454.4003808
1,3.093605375599504,0.042015739570169526,-3437.0,4000.0,-0.9988488315081833,1713342454.4789975
2,3.1023038999854413,0.7887228849972922,-4000.0,-28000.0,-0.9992282961949991,1713342454.5370696
3,3.0943778742881367,0.0,-5065.0,-45000.0,-0.9988855893544621,1713342454.5741029
4,3.0770379089620525,0.1407440436995645,-6668.0,-1000.0,-0.9979170659772963,1713342454.6453598
5,3.081977661763284,0.5390386934296695,-6260.0,27000.0,-0.9982235525849659,1713342454.6950266
6,3.0836092644087567,-1.172075754228121,-5601.0,28000.0,-0.998319434217498,1713342454.7240624
7,-3.1161707833690344,-296.3581058483374,-5767.0,-40000.0,-0.9996768816596493,1713342454.811372
8,-3.097119026517227,-0.13934644551352737,-5799.0,45000.0,-0.9990112112410201,1713342454.9189897
9,-3.0790075634922887,1.7101371910277103,-4794.0,36000.0,-0.9980421924175663,1713342454.949012
10,-3.0500251361839372,1.0108115884593751,-3987.0,-14000.0,-0.9958106232965422,1713342455.026386
11,-3.0401074288443826,1.3537403249614395,-5030.0,-43000.0,-0.9948547928357829,1713342455.0740888
12,-3.0803473136587987,-0.7143988309957625,-6030.0,20000.0,-0.9981250903425088,1713342455.161308
13,3.132585837194038,-1.3398590542997253,-7250.0,-50000.0,-0.99995943890341,1713342455.2602854
14,3.0612389382774174,-0.2542386468204745,-7754.0,41000.0,-0.9967733768950842,1713342455.3771605
15,3.052697607909561,0.0,-6399.0,9000.0,-0.9960514366917167,1713342455.4344149
16,3.0613952671565916,0.13841591343024823,-5146.0,47000.0,-0.996785912807922,1713342455.492113
17,3.1013558656699147,0.9324393488355747,-3653.0,24000.0,-0.9991906096579721,1713342455.5391598
18,3.108671763921684,-0.04886413411004197,-3067.0,16000.0,-0.9994581564512068,1713342455.5691583
19,3.1159572450681154,0.0,-2639.0,19000.0,-0.9996714309094812,1713342455.5971289
20,3.124052842087845,-0.0240735403007583,-2244.0,10000.0,-0.9998461814497576,1713342455.6241014
21,3.141592653589793,0.0,-1731.0,20000.0,-1.0,1713342455.6622622
22,3.141592653589793,0.0,-1322.0,-6000.0,-1.0,1713342455.7101648
23,-1.0298825092717312,297.96633406907563,-2436.0,-36000.0,0.5149195660990095,1713342455.7672622
24,3.141592653589793,0.0,-3782.0,-49000.0,-1.0,1713342455.8052428
25,3.109668140711536,1.0902096285626743,-4121.0,46000.0,-0.9994904560171355,1713342455.9252422
26,3.141592653589793,0.0,-2882.0,-21000.0,-1.0,1713342456.0166454
27,3.141592653589793,0.0,-4308.0,-43000.0,-1.0,1713342456.0661416
28,3.141592653589793,0.0,-4120.0,50000.0,-1.0,1713342456.1837044
29,3.1264437463620323,0.0,-3035.0,46000.0,-0.9998852574992764,1713342456.2125962
