,angle1,angle2,angle3,angle4,angle5,angle_velocity,position,position_velocity,reward,time
0,-3.064820762320015,-3.064820762320015,-3.064820762320015,-3.080131697707027,-3.080131697707027,-0.37249620093552277,0.0,0.0,0.36858393162925546,1714481958.3901858
1,3.125968924969316,3.125968924969316,3.125968924969316,3.125968924969316,3.110352820159525,-0.7587152115293512,-7519.0,-60000.0,0.30027640950737505,1714481958.5812247
2,3.078185701622961,3.0623935826203414,3.0623935826203414,3.0636260197582508,3.0636260197582508,-0.34789886735760006,-14071.0,-60000.0,0.23877028163759775,1714481958.7093341
3,3.0636260197582508,3.0636260197582508,3.0623935826203414,3.0623935826203414,3.078185701622961,0.4389401591838627,-20574.0,-60000.0,0.17315223015318018,1714481958.8364835
4,-3.0040059171194433,-2.988943325194528,-2.986595911665852,-2.9713807283043185,-2.9562447035940984,1.7351933760210332,-15434.0,60000.0,0.22859342938756458,1714481959.0843587
5,-2.8780287700067553,-2.8632929945846817,-2.8632929945846817,-2.8632929945846817,-2.8632929945846817,0.34589347680235166,-8706.0,60000.0,0.30328255428965634,1714481959.2142253
6,-2.8632929945846817,-2.8632929945846817,-2.8632929945846817,-2.8780287700067553,-2.8780287700067553,-0.3812075382303727,-2144.0,60000.0,0.362698033482838,1714481959.3406122
7,-2.9739502157585775,-2.988943325194528,-3.0040059171194433,-3.0040059171194433,-3.017237659043032,-1.009028093113984,4474.0,60000.0,0.33150432134415875,1714481959.4686751
8,3.125968924969316,3.125968924969316,3.110352820159525,3.0947519406738233,3.0947519406738233,-1.1454034977396972,11031.0,60000.0,0.26714791794506454,1714481959.5954618
9,2.981679530431574,2.981679530431574,2.9660004916396128,2.9660004916396128,2.9631821542387526,-0.8850267243037394,17559.0,60000.0,0.2082998352587545,1714481959.7217748
10,2.9316191407276295,2.9316191407276295,2.9473516574083893,2.9473516574083893,2.9473516574083893,0.4147019378212382,24115.0,60000.0,0.1422482091503379,1714481959.848854
11,3.0132694259039985,3.015284536526553,3.015284536526553,3.0309354324158977,3.046640947247037,1.1629090378505897,30686.0,60000.0,0.06473521800610973,1714481959.9756362
12,-3.110352820159525,-3.0947519406738233,-3.080131697707027,-3.080131697707027,-3.064820762320015,1.4804889468275264,37314.0,60000.0,-0.014694162715226241,1714481960.1036701
13,-2.9411940997639148,-2.9411940997639148,-2.926234953892055,-2.926234953892055,-2.9113730663129496,1.1704163364564604,43870.0,60000.0,-0.08766595255640186,1714481960.2307408
14,-2.8632929945846817,-2.8486802560642697,-2.8486802560642697,-2.8486802560642697,-2.8486802560642697,0.34430026642352934,50444.0,60000.0,-0.16607394034394043,1714481960.358828
15,-2.896613990462929,-2.9113730663129496,-2.9113730663129496,-2.926234953892055,-2.926234953892055,-0.7161222059879179,57061.0,60000.0,-0.2639891073077783,1714481960.4858108
16,2.9841757808632026,2.968732046802648,2.9504081939927786,2.934909435105544,2.919510751684313,-2.31551182375999,52063.0,-60000.0,-0.19765412200083413,1714481960.7338014
17,2.896613990462929,2.912360720312798,2.912360720312798,2.9316191407276295,2.9473516574083893,1.6300635233598737,57240.0,60000.0,-0.2673009188499926,1714481960.9835181
18,3.125968924969316,3.141592653589793,-3.126209251809198,-3.110833127519324,-3.095471537575282,-145.60079348878784,63839.0,60000.0,-0.464920819161758,1714481961.1109734
19,-2.8530052916957156,-2.8530052916957156,-2.8530052916957156,-2.8530052916957156,-2.8530052916957156,0.0,58807.0,-60000.0,-0.28267510372762145,1714481961.3597705
20,-2.988943325194528,-2.988943325194528,-3.0040059171194433,-3.0018837793006297,-3.017237659043032,-1.0657374914121052,63883.0,60000.0,-0.37003134663274206,1714481961.6085408
21,2.9504081939927786,2.934909435105544,2.919510751684313,2.915991409753769,2.9004749751383248,-1.6298915079581922,58902.0,-60000.0,-0.291519786028112,1714481961.858308
22,2.9473516574083893,2.9660004916396128,2.981679530431574,2.997438266476639,3.015284536526553,1.4858504853221401,63986.0,60000.0,-0.3709906885729129,1714481962.1059377
23,-3.081060633807686,-3.064820762320015,-3.049545804726386,-3.0359270714899376,-3.0209689850096906,2.269454267812813,70595.0,60000.0,-0.4769914333090548,1714481962.2351851
24,-2.8486802560642697,-2.8486802560642697,-2.8674252024701343,-2.8674252024701343,-2.8674252024701343,-0.3830318136615596,65670.0,-60000.0,-0.385963504582666,1714481962.486882
25,-2.976443976175166,-2.9912212255826587,-3.0040059171194433,-3.0191315961724516,-3.0343137979413903,-1.5726544602102006,59070.0,-60000.0,-0.2993528250189064,1714481962.6162176
26,3.095471537575282,3.080131697707027,3.0636260197582508,3.048115872431204,3.048115872431204,-1.8673748935899486,52467.0,-60000.0,-0.20860239054714588,1714481962.7451117
27,2.9316191407276295,2.9316191407276295,2.915991409753769,2.912360720312798,2.912360720312798,-0.5775361487687519,45816.0,-60000.0,-0.1117638671634916,1714481962.8754923
28,2.896613990462929,2.896613990462929,2.896613990462929,2.896613990462929,2.912360720312798,0.36100689253529655,39135.0,-60000.0,-0.026033748843005394,1714481963.0064142
29,2.997438266476639,2.997438266476639,3.015284536526553,3.0309354324158977,3.0309354324158977,1.2521621111367776,32494.0,-60000.0,0.044543718275231396,1714481963.136139
30,-3.095471537575282,-3.080131697707027,-3.080131697707027,-3.0636260197582508,-3.048115872431204,1.788943751131439,25959.0,-60000.0,0.11533973802916754,1714481963.2640047
31,-2.7526357734107862,-2.7526357734107862,-2.738681062736277,-2.738681062736277,-2.7326848246388677,0.770372014197495,31185.0,60000.0,0.08667924074298917,1714481963.5122519
