time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate
412,2048,-24.646803799999994,4,1,200.1,,,,,,,,,,
855,4096,-8.338264347826085,4,2,177.52173913043478,-0.047568321228027344,-1.098467718437314,0.0,0.00033372772,10,26.58547133207321,11.056695938110352,-0.00165045328612905,0.2,1e-05
1265,6144,1.7586506000000002,4,3,200.53333333333333,-0.017366528511047363,-1.0975918047130109,0.0,0.0012291272,20,16.146042275428773,7.6850266456604,-0.004807717795483768,0.2,1e-05
1696,8192,1.1578737804878045,4,4,197.2439024390244,0.0023055672645568848,-1.0958049278706312,0.0,0.00017447164,30,26.693453070521354,10.275102615356445,-0.0013780907771433703,0.2,1e-05
2083,10240,11.967478043478259,4,5,220.47826086956522,-0.027191638946533203,-1.0936493653804065,0.0,0.0005116833,40,22.94827867746353,15.285083770751953,-0.002682738425937714,0.2,1e-05
