time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
290816,18.11,-17.10825466,142,2,116858,0.00028115296,0.6449727118015289,0.0,9.516071815788745,1e-05,-0.0017955335599253886,1410,0.2,-3.4056825391948222,4.443542957305908
292864,18.69,-17.688195410000002,143,2,117895,0.00028476538,0.6766538321971893,0.0,7.976487536728382,1e-05,-0.0021564353446592577,1420,0.2,-3.402060127258301,3.5081262588500977
294912,18.39,-17.38822607,144,2,118940,0.00026131008,0.674000471830368,0.0,8.476237823069095,1e-05,-0.0015588188070978504,1430,0.2,-3.402406919002533,5.803490161895752
296960,18.46,-17.45821889,145,2,119983,0.00020651423,0.6883192956447601,0.0,7.898565878719092,1e-05,-0.0014983540859248023,1440,0.2,-3.3938951551914216,3.915105104446411
299008,18.09,-16.84695709,146,2,121032,0.00046906204,0.7027833461761475,0.0,7.4584562331438065,1e-05,-0.002196081004512962,1450,0.2,-3.397100602090359,3.0268008708953857
301056,18.31,-15.845849470000001,147,2,122080,0.00025360167,0.7169728875160217,0.000439453125,6.620141089707613,1e-05,-0.0018656123647815548,1460,0.2,-3.3928891398012637,4.287720680236816
303104,18.17,-6.03793227,148,2,123121,0.000593705,0.706436425447464,0.0001953125,6.24926020950079,1e-05,-0.0027638054081762673,1470,0.2,-3.3955254778265953,2.705294609069824
305152,18.24,-1.14973901,149,2,124164,0.000118823344,0.34327059984207153,0.0,14.787666872143745,1e-05,-0.0011410134691686835,1480,0.2,-3.3959107391536234,4.424637794494629
307200,18.08,1.1953839499999999,150,2,125219,3.7184975e-05,-0.26689255237579346,0.0,28.718470445275308,1e-05,-0.0004652883028029464,1490,0.2,-3.394662542641163,9.745504379272461
309248,17.83,-9.072366449999999,151,2,126273,3.8434606e-05,-1.5682604312896729,0.0,35.94381194114685,1e-05,-0.0005728715070290491,1500,0.2,-3.390712932497263,18.20458221435547
311296,18.05,-14.490702180000001,152,2,127329,0.0004182659,0.40744549036026,0.0,9.149822679162025,1e-05,-0.0016967063529591542,1510,0.2,-3.393832879513502,5.2762346267700195
313344,18.3,-16.77644523,153,2,128374,0.0004759586,0.6581256687641144,0.0,6.140929942578078,1e-05,-0.0023062850719725247,1520,0.2,-3.391625264286995,3.9430999755859375
315392,18.45,-17.255536780000003,154,2,129421,0.00025845814,0.7622232139110565,0.0,6.693459016084671,1e-05,-0.0017155686371552292,1530,0.2,-3.3901655599474907,2.9904139041900635
317440,17.74,-16.72504129,155,2,130486,0.00022395994,0.7697921097278595,0.0,6.666554172337055,1e-05,-0.0016341934686352033,1540,0.2,-3.388032978028059,2.1500487327575684
319488,18.29,-17.29,156,2,131534,0.00019083035,0.8008960783481598,0.0,5.132753293216228,1e-05,-0.0012611927872058005,1550,0.2,-3.382357920706272,3.1763792037963867
321536,18.23,-17.23,157,2,132583,0.00041180316,0.783184677362442,0.0,5.889505217224359,1e-05,-0.0021139663847861813,1560,0.2,-3.383238799124956,3.034832239151001
323584,18.17,-17.17,158,2,133631,0.00021841205,0.7775416374206543,0.0,5.92537487000227,1e-05,-0.0014274943605414592,1570,0.2,-3.383451820164919,2.8209264278411865
325632,18.02,-17.02,159,2,134676,0.00042329443,0.7678944766521454,0.0,5.994307609647512,1e-05,-0.002559670362097677,1580,0.2,-3.3787470243871214,2.6523473262786865
327680,17.96,-16.96,160,2,135735,0.00042282985,0.7829359918832779,0.0,5.579886998236179,1e-05,-0.002418888786633033,1590,0.2,-3.3802587792277334,2.7858314514160156
329728,17.94,-16.94,161,2,136797,0.00015239895,0.8025381565093994,0.0,4.7903738707304,1e-05,-0.0012608789518708363,1600,0.2,-3.3751177944242956,3.264277458190918
331776,18.08,-17.08,162,2,137849,0.00035404103,0.8016647845506668,0.0,4.697778191417456,1e-05,-0.0019778117050009312,1610,0.2,-3.3764507666230203,2.0586917400360107
333824,17.98,-16.98,163,2,138900,0.00028770306,0.8002191632986069,0.000439453125,4.803158728778362,1e-05,-0.0020357273569970857,1620,0.2,-3.3718529023230075,2.376063823699951
335872,18.11,-17.035206459999998,164,2,139951,0.00029265985,0.8127706497907639,0.0,4.512340649217367,1e-05,-0.00197024778535706,1630,0.2,-3.3725203394889833,1.6981146335601807
337920,18.02,-17.005041289999998,165,2,141005,0.00039533305,0.8135699778795242,0.0,4.497706136107444,1e-05,-0.0024479951134708244,1640,0.2,-3.3729024857282637,2.713543176651001
339968,18.03,-17.03,166,2,142058,0.00012978079,0.8187155425548553,0.0,4.370969158411026,1e-05,-0.0011388724902644753,1650,0.2,-3.3716475211083887,1.862891674041748
342016,17.64,-16.64,167,2,143122,0.00021480958,0.8217418044805527,0.0,4.257535698264837,1e-05,-0.0015954787420923821,1660,0.2,-3.368362468481064,2.5548954010009766
344064,18.06,-17.06,168,2,144173,0.00026530592,0.8420299291610718,0.000439453125,3.618202656880021,1e-05,-0.0017996635331655852,1670,0.2,-3.363451651483774,1.5564385652542114
346112,18.16,-17.14504189,169,2,145225,0.00025269733,0.8262690156698227,0.0,4.257462424784899,1e-05,-0.0017806677795306313,1680,0.2,-3.3630089536309242,1.4933724403381348
348160,17.85,-16.85,170,2,146284,0.00023358813,0.8369539082050323,0.0,3.921892839670181,1e-05,-0.0016539436161110642,1690,0.2,-3.3649015597999097,1.2611101865768433
