time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
49152,106.68,-105.66964095000003,24,4,11562,0.00013997694,0.005387663841247559,0.0,209.26023850440978,1e-05,-0.0023504690907429904,230,0.2,-3.9249019369482996,104.42752075195312
51200,97.51,-96.50054341,25,4,12114,0.0001355028,-0.012768983840942383,0.0,211.78481154441835,1e-05,-0.0023467313294531778,240,0.2,-3.923453529924154,103.93695068359375
53248,93.25,-92.24095901000003,26,4,12666,0.00012237555,0.008268594741821289,0.0,193.15414061546326,1e-05,-0.002307679752993863,250,0.2,-3.9226733379065992,97.52373504638672
55296,91.51,-90.50112295000001,27,4,13179,0.00012975174,0.0006833076477050781,0.0,194.55462923049927,1e-05,-0.0019926295441109686,260,0.2,-3.9212375417351724,91.33470153808594
57344,87.52,-86.51150629999998,28,4,13715,0.00018511177,-0.005564451217651367,0.0,215.05256085395814,1e-05,-0.0030180462912539952,270,0.2,-3.920187771320343,110.52045440673828
59392,89.46,-88.45130741999996,29,4,14261,0.00012621048,0.02271503210067749,0.0,199.32615394592284,1e-05,-0.0021163503610296176,280,0.2,-3.9184138856828215,86.90287780761719
61440,84.04,-83.03182913,30,4,14838,0.0001883638,0.018950223922729492,0.0,196.08174595832824,1e-05,-0.002782367228064686,290,0.2,-3.916245362907648,111.48137664794922
63488,76.71,-75.70254109999998,31,4,15404,0.00020111879,0.0001875162124633789,0.0,183.2461786746979,1e-05,-0.0029951241616799963,300,0.2,-3.9136355757713317,93.61660766601562
65536,73.28,-72.27286515,32,4,15974,0.00013995834,0.017390847206115723,0.0,185.7756824016571,1e-05,-0.002134432686580112,310,0.2,-3.9098262801766395,91.05248260498047
67584,70.51,-69.50312777999999,33,4,16537,0.00014874109,-0.007101297378540039,0.0,180.37597498893737,1e-05,-0.0022701286507071927,320,0.2,-3.9070385128259657,93.8819808959961
69632,68.95,-67.94327469000001,34,4,17122,0.00025397903,0.0003606081008911133,0.0,187.65580315589904,1e-05,-0.0035110208133119158,330,0.2,-3.9073766179382803,86.15150451660156
71680,62.0,-60.99395890999999,35,4,17754,0.0003646879,0.017053425312042236,0.0,172.82869052886963,1e-05,-0.004245963924768148,340,0.2,-3.9014909148216246,91.2245101928711
73728,54.11,-53.10473889,36,4,18398,0.00020631897,-0.012192249298095703,0.0,153.59683237075805,1e-05,-0.0027278048262814993,350,0.2,-3.8968146950006486,67.66158294677734
75776,49.51,-48.50519209,37,3,19062,0.0002990772,0.0022011995315551758,0.0,150.29241712093352,1e-05,-0.0031701539483037777,360,0.2,-3.8918745569884776,81.91032409667969
77824,48.71,-47.70526988,38,3,19686,0.00026676568,-0.01749289035797119,0.0,140.71617703437806,1e-05,-0.002996485561016016,370,0.2,-3.8849964797496797,68.86408233642578
79872,48.08,-47.075331940000005,39,3,20354,0.00021337662,0.04500705003738403,0.0,154.46609396934508,1e-05,-0.0025430816123844123,380,0.2,-3.8837367787957193,75.51482391357422
81920,44.38,-43.37569912,40,3,21058,0.0002833883,0.05090153217315674,0.0,140.0576475381851,1e-05,-0.0028898438627948052,390,0.2,-3.877723677456379,61.75905227661133
83968,43.25,-42.245811360000005,41,3,21719,0.00034615654,0.05069887638092041,0.0,124.89333765506744,1e-05,-0.003244035220996011,400,0.2,-3.867073917388916,63.532745361328125
86016,44.41,-43.40569557,42,3,22396,0.0001633272,0.048537611961364746,0.0,140.40221824645997,1e-05,-0.0022057374080759473,410,0.2,-3.865018327534199,68.88090515136719
88064,41.56,-40.55597752,43,3,23105,0.0002344283,0.016426682472229004,0.0,134.0964139699936,1e-05,-0.0027307209500577303,420,0.2,-3.8601154029369353,55.13875961303711
90112,39.19,-38.186212590000004,44,3,23814,0.00021703998,0.028227388858795166,0.0,123.08876726627349,1e-05,-0.002353449675865704,430,0.2,-3.850195064395666,66.73272705078125
92160,37.16,-36.156413959999995,45,3,24555,0.00027117235,0.03931403160095215,0.0,122.09744341373444,1e-05,-0.0026307340900530106,440,0.2,-3.8496316596865654,65.24205780029297
94208,35.43,-34.426585470000006,46,3,25287,0.00035987003,0.019083678722381592,0.0,110.35065264701844,1e-05,-0.0035280597767268773,450,0.2,-3.8362963542342188,40.2916259765625
96256,35.65,-34.646563629999996,47,3,26039,0.00033629077,-0.0036569833755493164,0.0,112.11427993774414,1e-05,-0.0029793063193210402,460,0.2,-3.8301307283341886,57.89630126953125
98304,33.82,-32.81674515,48,3,26810,0.00026704196,0.06476956605911255,0.0,103.40947325229645,1e-05,-0.00268499067024095,470,0.2,-3.8278175592422485,53.75786590576172
100352,33.18,-32.17680864999999,49,3,27571,0.00024575013,0.042153120040893555,0.0,99.83887100219727,1e-05,-0.002592949905374553,480,0.2,-3.8175328195095064,40.31642150878906
102400,34.75,-33.746652929999996,50,3,28320,0.00026641457,0.03938603401184082,0.0,102.14750227928161,1e-05,-0.0027563717580051162,490,0.2,-3.8122196801006796,49.72227478027344
104448,33.47,-32.466779880000004,51,3,29088,0.00025055258,0.04445004463195801,0.0,105.2435899734497,1e-05,-0.002626959912595339,500,0.2,-3.8088722214102746,45.178855895996094
106496,32.31,-31.306895009999995,52,3,29869,0.00023283044,0.03867214918136597,0.0,99.53799035549164,1e-05,-0.002217482756532263,510,0.2,-3.801274172961712,53.23906707763672
108544,30.63,-29.627061589999993,53,3,30668,0.0003273059,0.06577396392822266,0.0,94.03392381668091,1e-05,-0.002707998330879491,520,0.2,-3.791219609230757,45.98657989501953
110592,29.34,-28.337189449999997,54,3,31500,0.00023811654,0.05654054880142212,0.0,90.53344178199768,1e-05,-0.002429765960550867,530,0.2,-3.7830628260970114,44.01805877685547
112640,29.78,-28.777145830000006,55,3,32289,0.0003337569,0.06672966480255127,0.0,79.3279478430748,1e-05,-0.0026405809156131,540,0.2,-3.767930176854134,39.10148620605469
114688,31.2,-30.197004970000002,56,3,33080,0.00020947697,0.06687325239181519,0.0,87.96057713031769,1e-05,-0.002196845660364488,550,0.2,-3.772799213975668,45.30641174316406
116736,29.9,-28.897133990000007,57,3,33897,0.0003063455,0.043659329414367676,0.0,89.75996462106704,1e-05,-0.002948629365710076,560,0.2,-3.768883793801069,51.77019119262695
118784,27.48,-26.477373979999996,58,3,34738,0.000338769,0.08046185970306396,0.0,80.06774274110793,1e-05,-0.0027506352955242617,570,0.2,-3.7586120828986167,47.08357620239258
120832,27.74,-26.73734815,59,3,35582,0.00021235782,0.07802927494049072,0.0,73.654809486866,1e-05,-0.0019611030664236752,580,0.2,-3.745154442638159,36.04496383666992
