time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss,train/loss
4,-54.57334825000001,1,208.125,435,2048,,,,,,,,,,
4,-96.04246228571428,2,287.92857142857144,863,4096,-0.0012648133204493206,-0.019423604011535645,0.00010835225,0.0,10,1e-05,-3.04446237757802,0.2,56.43433048725128,31.596757888793945
4,-114.8777854,3,298.15,1292,6144,-0.0010211493376118598,-0.015549302101135254,7.198416e-05,0.0,20,1e-05,-3.044335340708494,0.2,126.90266008377075,76.796875
4,-134.7556356923077,4,308.3076923076923,1730,8192,-0.000803760201233672,-0.003392815589904785,5.7171506e-05,0.0,30,1e-05,-3.0442165404558184,0.2,119.41062362194062,47.372344970703125
4,-122.69347446875,5,311.375,2158,10240,-0.0008762919067521579,-0.0058100223541259766,6.342618e-05,0.0,40,1e-05,-3.0441295243799686,0.2,143.60854635238647,73.20841979980469
4,-124.77917257499999,6,305.4,2602,12288,-0.0009741120040416718,0.008051097393035889,6.4526655e-05,0.0,50,1e-05,-3.044000133872032,0.2,95.79721856117249,36.05681610107422
4,-136.73261267391302,7,308.6304347826087,3034,14336,-0.0018103853846696439,-0.016309738159179688,0.00018719703,0.0,60,1e-05,-3.0437974318861962,0.2,100.84949707984924,45.840023040771484
4,-143.17766552941177,8,320.9019607843137,3461,16384,-0.0012446710403310134,0.005048155784606934,8.916191e-05,0.0,70,1e-05,-3.0435235038399697,0.2,154.7563323020935,73.80985260009766
4,-140.12007142857144,9,315.67857142857144,3888,18432,-0.0010760765442682895,-0.02341175079345703,0.00012452321,0.0,80,1e-05,-3.043467213213444,0.2,97.4434489607811,54.70693588256836
4,-150.8387626666667,10,333.25,4304,20480,-0.0010951731084787753,0.010645866394042969,9.6757896e-05,0.0,90,1e-05,-3.0429630734026434,0.2,120.3254846572876,63.29490280151367
4,-166.3338943492064,11,349.2063492063492,4713,22528,-0.0018594750788906822,0.027185559272766113,0.00020550546,0.0,100,1e-05,-3.0426511012017725,0.2,107.5521628856659,52.863067626953125
4,-176.91440972727273,12,365.3030303030303,5124,24576,-0.000802843768542516,-0.05596423149108887,4.5796536e-05,0.0,110,1e-05,-3.041982585936785,0.2,229.6430037021637,102.57593536376953
4,-172.70113084931506,13,363.1506849315069,5559,26624,-0.0010323608352337033,0.03431344032287598,8.347907e-05,0.0,120,1e-05,-3.041722472757101,0.2,143.1292917728424,77.51240539550781
4,-171.94795584615386,14,363.14102564102564,5979,28672,-0.0026728416472906248,0.03689742088317871,0.00032777368,0.0,130,1e-05,-3.0410862103104592,0.2,63.23199052810669,28.049114227294922
4,-178.2818293375,15,378.925,6385,30720,-0.0010471531266375677,-0.07332539558410645,5.849669e-05,0.0,140,1e-05,-3.0404175192117693,0.2,118.131312251091,55.6102409362793
4,-176.98784419047618,16,388.17857142857144,6798,32768,-0.001796475047012791,-0.007928133010864258,0.00017454001,0.0,150,1e-05,-3.040154964476824,0.2,89.63951901197433,40.97748947143555
4,-175.4753284588235,17,385.5176470588235,7190,34816,-0.0026474037542357108,-0.013033032417297363,0.00042272045,0.0,160,1e-05,-3.039439705759287,0.2,70.13725938796998,39.73378372192383
4,-185.89048626136363,18,402.60227272727275,7599,36864,-0.0006280769222939853,-0.0299149751663208,2.7042726e-05,0.0,170,1e-05,-3.0374664328992367,0.2,179.9894693851471,80.50732421875
4,-189.32631515730336,19,414.2134831460674,7999,38912,-0.0013605810163426213,0.00023490190505981445,0.000118776166,0.0,180,1e-05,-3.0371101297438146,0.2,89.62070904970169,48.574485778808594
4,-194.43734648913042,20,427.30434782608694,8400,40960,-0.000875449239538284,0.0028645992279052734,7.254415e-05,0.0,190,1e-05,-3.0364230133593084,0.2,90.91130005121231,44.80870819091797
4,-198.34362534042552,21,448.5531914893617,8801,43008,-0.0011363554000126896,-0.0059239864349365234,0.00011511045,0.0,200,1e-05,-3.036624622344971,0.2,109.44971747398377,74.24971008300781
4,-198.9437467368421,22,452.7263157894737,9208,45056,-0.001242043782986002,0.006294548511505127,0.00016293238,0.0,210,1e-05,-3.034854556620121,0.2,47.623193287849425,13.877372741699219
4,-207.46353059375,23,469.34375,9611,47104,-0.0008891220553778112,0.010250091552734375,5.3097174e-05,0.0,220,1e-05,-3.0349006928503512,0.2,116.09655125141144,61.68611145019531
4,-207.6016178556701,24,485.6185567010309,10005,49152,-0.0019253421651228564,0.010844230651855469,0.00032474322,0.0,230,1e-05,-3.0347584523260593,0.2,42.63920633196831,25.4882869720459
4,-205.32204675757572,25,501.06060606060606,10407,51200,-0.0019031203883059788,-0.03646743297576904,0.00017838826,0.0,240,1e-05,-3.0325504027307035,0.2,26.402859354019164,16.79524040222168
4,-202.67119663999995,26,512.01,10802,53248,-0.0017862585315015166,0.001345217227935791,0.00023432286,0.0,250,1e-05,-3.0319838486611843,0.2,34.55561939477921,13.335382461547852
4,-207.35511948999996,27,528.43,11193,55296,-0.000982562720309943,0.008404672145843506,6.480282e-05,0.0,260,1e-05,-3.0315807409584523,0.2,86.72766348123551,48.50240707397461
4,-208.79585985999998,28,546.93,11594,57344,-0.0014572591891919729,-0.006268143653869629,0.00016263136,0.0,270,1e-05,-3.0288316808640956,0.2,60.83547583818436,30.565860748291016
4,-213.24482554999994,29,565.11,11993,59392,-0.0009923198318574577,-0.00027060508728027344,8.381897e-05,0.0,280,1e-05,-3.0310691237449645,0.2,64.7729458272457,41.19523620605469
4,-217.73649218999998,30,585.06,12392,61440,-0.0010834103188244626,0.002240598201751709,0.00010392963,0.0,290,1e-05,-3.0288255110383036,0.2,52.24871927499771,34.62651062011719
4,-221.58870626999996,31,601.9,12789,63488,-0.0011293557574390434,0.0017767548561096191,0.0001110576,0.0,300,1e-05,-3.0292951948940754,0.2,45.51773394942283,22.557374954223633
4,-227.38669835000002,32,620.1,13187,65536,-0.0008978853453299962,0.010443329811096191,6.348471e-05,0.0,310,1e-05,-3.0285073593258858,0.2,97.59103167057037,54.82337188720703
4,-227.02314938,33,639.9,13579,67584,-0.0009998594774515367,-0.000152587890625,0.00010623844,0.0,320,1e-05,-3.028296897560358,0.2,43.13971186280251,23.36328887939453
4,-230.28186188,34,659.2,13983,69632,-0.0013101804186590015,-0.0038018226623535156,0.000120523735,0.0,330,1e-05,-3.025637336820364,0.2,38.19078367948532,22.384111404418945
4,-238.35666277999994,35,675.84,14384,71680,-0.0005195453399210237,0.007094383239746094,3.5212375e-05,0.0,340,1e-05,-3.028029327839613,0.2,90.57814277410507,41.082157135009766
4,-243.14173504999997,36,692.15,14784,73728,-0.0007444639151799493,0.01969897747039795,5.157714e-05,0.0,350,1e-05,-3.0265560917556287,0.2,78.64795184135437,39.79289627075195
