rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/approx_kl,train/loss,train/explained_variance
-166.2949344,14,143,2048,1,201.0,,,,,,,,,,
-160.23848590476192,12,338,4096,2,193.28571428571428,-4.615073443949223,0.0,10,-0.0019003604189492761,1e-05,0.2,172.16636357307434,8.014162e-05,87.3483657836914,-0.03568863868713379
-158.65678862500002,11,526,6144,3,190.84375,-4.614992050826549,0.0,20,-0.0017798914705053903,1e-05,0.2,171.7656759738922,6.685805e-05,84.40181732177734,-0.0027796030044555664
-157.67557,11,714,8192,4,189.65116279069767,-4.61492373496294,0.0,30,-0.0014810277098149527,1e-05,0.2,173.9070866584778,5.2645715e-05,84.7528076171875,0.0419352650642395
-154.14585031481485,11,903,10240,5,188.94444444444446,-4.614866238832474,0.0,40,-0.001300819998141378,1e-05,0.2,175.8674777030945,3.869878e-05,89.95386505126953,0.008126020431518555
