,0
0,-0.9701425001453319
1,-0.9847835588179368
2,-0.978549784986749
3,-0.9593655015712705
4,-0.9417419115948373
5,-0.9363291775690444
6,-0.9191450300180579
7,-0.9191450300180579
8,-0.9191450300180579
9,-0.9417419115948373
10,-0.9615239476408232
11,-0.9615239476408232
12,-0.9778024140774094
13,-0.9977851578566089
14,-0.9778024140774094
15,-0.9899494936611665
16,-0.9899494936611665
17,-0.9805806756909201
18,-0.9615239476408232
19,-0.9191450300180579
20,-0.8944271909999159
21,-0.8804710999221753
22,-0.8944271909999159
23,-0.8682431421244591
24,-0.8804710999221753
25,-0.9191450300180579
26,-0.9417419115948373
27,-0.9615239476408232
28,-0.997458699830735
29,-0.9979253089684582
30,-0.9988681377244376
31,-0.9990561583550596
32,-0.9990561583550596
33,1.0
34,-0.9992611746313143
35,-0.9992611746313143
36,-0.9578262852211513
37,-0.9805806756909201
38,-0.9743911956946198
39,-0.9738412097417932
40,-0.9444967967061592
41,-0.8682431421244591
42,-0.916157334902189
43,-0.9991330730923519
44,-0.9965457582448796
45,-0.9954954725939522
46,-0.9992009587217894
47,-0.9992009587217894
48,1.0
49,1.0
50,1.0
51,-0.9992009587217894
52,1.0
53,-0.996815278536125
54,-0.9992009587217894
55,-0.9991330730923519
56,-0.9934089358711311
57,-0.9863939238321437
58,-0.9820064469806473
59,-0.9844275755084819
60,-0.9820064469806473
61,-0.9820064469806473
62,-0.9820064469806473
63,-0.9566738804288585
64,-0.9566738804288585
65,-0.9529257800132619
66,-0.9863939238321437
67,-0.996240588195683
68,1.0
69,-0.9990561583550596
70,-0.9977851578566089
71,-0.9991330730923519
72,-0.9990561583550596
73,-0.9993148337667671
74,1.0
75,-0.9992009587217894
76,1.0
77,-0.9993148337667671
78,-0.9970544855015816
79,-0.9883716976506172
80,-0.9778024140774094
81,-0.9486832980505138
82,-0.9255469562056767
83,-0.9486832980505138
84,-0.9743911956946198
85,-0.9701425001453319
86,-0.9883716976506172
87,-0.992876838486922
88,-0.9992611746313143
89,-0.997458699830735
90,-0.9989685402102996
91,-0.9991330730923519
92,-0.9988681377244376
93,1.0
94,1.0
95,-0.9992611746313143
96,-0.9874406319167053
97,-0.9656157585206697
98,-0.9284766908852593
99,-0.9743911956946198
100,-0.9529257800132619
101,-0.9444967967061592
102,-0.9566738804288585
103,-0.9970544855015816
104,-0.997458699830735
105,-0.997458699830735
106,-0.9965457582448796
107,-0.9965457582448796
108,-0.9988681377244376
109,-0.9991330730923519
110,-0.9992009587217894
111,-0.9992009587217894
112,-0.9958932064677039
113,-0.9990561583550596
114,-0.9916004111862217
115,-0.9771763639228009
116,-0.9529257800132619
117,-0.9874406319167053
118,-0.978980419737605
119,-0.9863939238321437
120,-0.9954954725939522
121,-0.9992009587217894
122,1.0
123,-0.9958932064677039
124,-0.9965457582448796
125,-0.9990561583550596
126,1.0
127,-0.9994059993535875
128,1.0
129,-0.9916004111862217
130,-0.978980419737605
131,-0.9486832980505138
132,-0.9119215051751063
133,-0.9284766908852593
134,-0.9676172723968438
135,-0.9778024140774094
136,-0.9771763639228009
137,-0.9751328557914597
138,-0.9908301680442989
139,-0.9958932064677039
140,-0.996240588195683
141,-0.9992009587217894
142,-0.9965457582448796
143,-0.9863939238321437
144,-0.992876838486922
145,-0.9844275755084819
146,-0.9992009587217894
147,-0.9991330730923519
148,-0.9916004111862217
149,-0.9883716976506172
150,-0.9566738804288585
151,-0.9486832980505138
152,-0.9524241471993241
153,-0.9312427797057534
154,-0.9656157585206697
155,-0.9615239476408232
156,-0.9676172723968438
157,-0.9701425001453319
158,-0.9863939238321437
159,-0.9852117548196745
160,-0.9922778767136676
161,1.0
162,-0.9922778767136676
163,-0.9771763639228009
164,-0.9771763639228009
165,-0.9863939238321437
166,-0.9989685402102996
167,-0.9991330730923519
168,-0.9529257800132619
169,-0.9656157585206697
170,-0.9629640197141817
171,-0.9629640197141817
172,-0.9629640197141817
173,-0.9486832980505138
174,-0.9754410020677065
175,-0.9743911956946198
176,-0.9820064469806473
177,-0.978980419737605
178,-0.992876838486922
179,-0.9863939238321437
180,-0.997458699830735
181,-0.997458699830735
182,1.0
183,-0.992876838486922
184,-0.992876838486922
185,-0.996240588195683
186,-0.9965457582448796
187,-0.9965457582448796
188,-0.992876838486922
189,-0.9965457582448796
190,-0.997630328422983
191,-0.9922778767136676
192,-0.9883716976506172
193,-0.9363291775690444
194,-0.9255469562056767
195,-0.9191450300180579
196,-0.9701425001453319
197,-0.9438583563660173
198,-0.978980419737605
199,-0.9823385664224746
200,0.0
201,-0.9676172723968438
202,-0.9751328557914597
203,-0.9486832980505138
204,-0.9615239476408232
205,-0.9771763639228009
206,-0.9635179096299407
207,-0.9761870601839527
208,-0.9908301680442989
209,-0.994505452921406
210,-0.9899494936611665
211,-0.9954954725939522
212,-0.9987523388778446
213,-0.9986178293325098
214,-0.978549784986749
215,-0.9593655015712705
216,-0.9383431168171101
217,-0.9284766908852593
218,-0.9119215051751063
219,-0.9363291775690444
220,-0.9284766908852593
221,-0.9615239476408232
222,-0.9615239476408232
223,-0.9938837346736189
224,-0.9986178293325098
225,-0.9982743731749959
226,1.0
227,1.0
228,-0.9986178293325098
229,-0.9986178293325098
230,1.0
231,-0.9916004111862217
232,-0.9805806756909201
233,-0.9701425001453319
234,-0.9363291775690444
235,-0.96
236,-0.9486832980505138
237,-0.9119215051751063
238,-0.9486832980505138
239,-0.9647638212377321
240,-0.978980419737605
241,-0.992876838486922
242,-0.9990561583550596
243,-0.9989685402102996
244,-0.9989685402102996
245,-0.9989685402102996
246,1.0
247,-0.996240588195683
248,-0.9988681377244376
249,-0.9987523388778446
250,-0.9615239476408232
251,-0.9216353751380654
252,-0.9216353751380654
253,-0.9037378388935388
254,-0.8858315352801552
255,-0.9191450300180579
256,-0.913811548620257
257,-0.9438583563660173
258,-0.9578262852211513
259,-0.9823385664224746
260,-0.9931506043228762
261,-0.9931506043228762
262,-0.9931506043228762
263,-0.994505452921406
264,-0.994505452921406
265,-0.9991330730923519
266,-0.987762965329069
267,-0.9874406319167053
268,-0.9950371902099892
269,-0.978549784986749
270,-0.9751328557914597
271,-0.9647638212377321
272,-0.978980419737605
273,-0.9701425001453319
274,-0.9728062146853669
275,-0.9771763639228009
276,-0.9676172723968438
277,-0.9676172723968438
278,-0.978549784986749
279,-0.9916004111862217
280,-0.9965457582448796
281,-0.9991330730923519
282,-0.9954954725939522
283,-0.9986178293325098
284,-0.9987523388778446
285,-0.9954954725939522
286,-0.9734171683335759
287,-0.9593655015712705
288,-0.9578262852211513
289,-0.9529257800132619
290,-0.9284766908852593
291,-0.934487734928968
292,-0.9486832980505138
293,-0.9647638212377321
294,-0.9615239476408232
295,-0.9701425001453319
296,-0.9771763639228009
297,-0.9883716976506172
298,-0.9990561583550596
299,1.0
300,-0.9991330730923519
301,-0.9989685402102996
302,-0.9991330730923519
303,-0.9993148337667671
304,-0.992876838486922
305,-0.996815278536125
306,-0.9823385664224746
307,-0.9908301680442989
308,-0.9771763639228009
309,-0.9852117548196745
310,-0.9701425001453319
311,-0.978549784986749
312,-0.978549784986749
313,-0.9670745372626464
314,-0.9593655015712705
315,-0.9535826651341416
316,-0.9670745372626464
317,-0.9751328557914597
318,-0.9751328557914597
319,-0.9320046715412958
320,-0.9676172723968438
321,-0.9728062146853669
322,-0.9838699100999074
323,-0.9954954725939522
324,-0.9965457582448796
325,-0.9992009587217894
326,-0.9989685402102996
327,-0.9863939238321437
328,-0.996240588195683
329,-0.9916004111862217
330,-0.9908301680442989
331,-0.992876838486922
332,-0.9805806756909201
333,-0.9908301680442989
334,-0.9916004111862217
335,-0.9805806756909201
336,-0.9728062146853669
337,-0.9701425001453319
338,-0.9771763639228009
339,-0.9676172723968438
340,-0.9701425001453319
341,-0.9670745372626464
342,-0.9874406319167053
343,-0.9916004111862217
344,-0.9899494936611665
345,-0.9922778767136676
346,-0.9486832980505138
347,-0.9922778767136676
348,-0.978549784986749
349,-0.978549784986749
350,-0.9988681377244376
351,-0.9954954725939522
352,-0.9922778767136676
353,-0.9908301680442989
354,-0.9838699100999074
355,-0.9676172723968438
356,-0.9676172723968438
357,-0.9615239476408232
358,-0.9578262852211513
359,-0.9805806756909201
360,-0.9899494936611665
361,-0.9958932064677039
362,-0.9954954725939522
363,-0.9990561583550596
364,1.0
365,1.0
366,-0.9987523388778446
367,-0.9991330730923519
368,-0.9922778767136676
369,-0.9990561583550596
370,-0.9662349396012463
371,-0.9852117548196745
372,-0.9723873019805175
373,-0.9486832980505138
374,-0.9216353751380654
