rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/clip_range,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss
26.602419090909095,4,1,176.9090909090909,2048,450,,,,,,,,,,
27.199106391304337,4,2,176.65217391304347,4096,948,-0.10617184638977051,1e-05,10,0.00011937943,0.2,8.810810589790345,-0.002498325584747363,0.0,4.16213846206665,-4.615058387815952
27.06028736111111,4,3,168.66666666666666,6144,1451,0.04857522249221802,1e-05,20,9.75345e-05,0.2,7.560103741288185,-0.0023723104983218945,0.0,4.063753604888916,-4.614945235848427
26.616625693877552,4,4,166.73469387755102,8192,1953,-0.0027998685836791992,1e-05,30,0.00010179289,0.2,9.60768490731716,-0.0022292419016594067,0.0,4.644845962524414,-4.61483493745327
25.826272935483868,4,5,162.70967741935485,10240,2469,-0.02554798126220703,1e-05,40,0.00011704961,0.2,8.543749114871025,-0.002341676954529248,0.0,4.638902187347412,-4.614734201133251
