time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss
1,4,37.5951234,376.6,416,2048,,,,,,,,,,
2,4,13.718077823529413,239.52941176470588,886,4096,10,28.286494076251984,1e-05,0.0,-3.044471576809883,-0.001138546014408348,0.2,6.5124215e-05,-0.00951087474822998,16.54487419128418
3,4,4.77494528,238.28,1335,6144,20,42.5648536324501,1e-05,0.0,-3.0443546302616595,-0.0011087542545283214,0.2,7.690236e-05,-0.004002809524536133,21.246824264526367
4,4,7.71580248275862,273.1034482758621,1754,8192,30,27.28989107608795,1e-05,0.0,-3.0441591002047064,-0.00208198937762063,0.2,0.0001721147,-0.0037451982498168945,14.089400291442871
5,4,12.91328554054054,275.4054054054054,2196,10240,40,20.78015081882477,1e-05,0.0,-3.043766524642706,-0.0019029100789339282,0.2,0.0001520692,0.012469291687011719,11.391176223754883
