time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance
1,183.72727272727272,439,-155.05580218181817,2048,4,,,,,,,,,,
2,159.04,901,-134.92127584,4096,4,1e-05,0.0,90.06658935546875,177.4876515865326,10,0.2,-3.931775872409344,8.240633e-05,-0.001637962546374183,-0.015080690383911133
3,162.9189189189189,1362,-134.42409648648646,6144,4,1e-05,0.0,80.11946868896484,167.77378945350648,20,0.2,-3.9316995084285735,6.606639e-05,-0.0016089040822407697,-0.016004323959350586
4,164.3673469387755,1829,-131.6448658367347,8192,4,1e-05,0.0,87.14713287353516,161.25112566947936,30,0.2,-3.931648629903793,3.4143945e-05,-0.000884778871841263,-0.01084756851196289
5,159.1875,2321,-125.0953021875,10240,4,1e-05,0.0,74.14605712890625,148.60122921466828,40,0.2,-3.931609835475683,7.6193974e-05,-0.0014273309090640396,-0.04202389717102051
