,angle,angle_velocity,position,position_velocity,reward,time
0,3.0975035961917214,0.0,-7513.0,-60000.0,-0.999028234937562,1714037595.705075
1,3.067467684813335,0.0,-13996.0,-60000.0,-0.9972540021737105,1714037595.8321152
2,3.081961940458624,0.6575429659441989,-20491.0,-60000.0,-0.9982226157912,1714037595.9591293
3,3.121988342603224,0.5878466923021732,-26985.0,-60000.0,-0.999807841649825,1714037596.086016
4,-3.112189365385788,0.0,-33721.0,-60000.0,-0.9995677544643531,1714037596.2178826
5,-3.0779563298121073,0.5848825716790701,-40286.0,-60000.0,-0.9979758923521344,1714037596.346686
6,-3.010004512131873,0.0,-35293.0,60000.0,-0.9913547659899606,1714037596.5951405
7,-3.019657443392577,-0.6344849117476127,-28698.0,60000.0,-0.9925751086614848,1714037596.7229838
8,-3.092614674419171,-0.6940393569078622,-22091.0,60000.0,-0.9988008185275542,1714037596.8511262
9,3.0874341225081388,-0.8100611252246801,-15490.0,60000.0,-0.998533785193339,1714037596.9796073
10,3.0178560741806595,-0.5331333691612732,-8626.0,60000.0,-0.9923543919242188,1714037597.1119635
11,2.9617391537973154,0.0,-13615.0,-60000.0,-0.9838699100999075,1714037597.360214
12,3.0178560741806595,0.6298769273422901,-20106.0,-60000.0,-0.9923543919242188,1714037597.4872751
13,1.0471975511965979,-302.55765933453074,-26648.0,-60000.0,0.4999999999999999,1714037597.615156
14,-3.0293268730724523,0.529767193093167,-33299.0,-60000.0,-0.9937048132686467,1714037597.7452939
15,-2.907176977865982,0.0,-28252.0,60000.0,-0.9726502311087317,1714037597.993346
16,3.06218617310491,-2.6712500346172967,-33007.0,-60000.0,-0.9968489616608718,1714037598.2462778
17,2.8819630241815357,0.6178167682116569,-28205.0,60000.0,-0.9664851269264961,1714037598.4992938
18,3.0227695430000474,1.1189390096396314,-21506.0,60000.0,-0.9929488362963835,1714037598.6291344
19,-3.010004512131873,0.0,-26766.0,-60000.0,-0.9913547659899606,1714037598.8825364
20,-2.995580395878518,0.0,-21700.0,60000.0,-0.9893591353648532,1714037599.1304004
21,3.037507895032931,-2.4631357015496147,-26720.0,-60000.0,-0.9945880700728339,1714037599.3800256
22,2.9568636149897727,0.5702163994249897,-21697.0,60000.0,-0.9829860569562386,1714037599.6274529
23,-3.112189365385788,0.5709692519356337,-26660.0,-60000.0,-0.9995677544643531,1714037599.8765466
24,-3.0584552959374283,0.6145597440474927,-33193.0,-60000.0,-0.9965460799751947,1714037600.004516
25,-3.053585280062052,0.0,-39795.0,-60000.0,-0.9961298500253809,1714037600.133448
26,-3.0975035961917214,0.0,-46450.0,-60000.0,-0.999028234937562,1714037600.2637534
27,1.0520991586558817,-310.3279247822416,-41506.0,60000.0,0.4957490939918531,1714037600.5127332
28,-3.112189365385788,0.0,-34592.0,60000.0,-0.9995677544643531,1714037600.647183
29,-3.112189365385788,0.0,-27976.0,60000.0,-0.9995677544643531,1714037600.7753618
30,3.027665777841417,-0.6904355947681591,-32998.0,-60000.0,-0.9935173497501846,1714037601.024114
31,3.072420377174238,1.066880608234442,-28035.0,60000.0,-0.9976085518667639,1714037601.272962
32,-3.063325311812805,1.3378611713197708,-21228.0,60000.0,-0.996938674833905,1714037601.4049256
33,-2.969199938743186,0.6102035471079464,-14541.0,60000.0,-0.9851771409008113,1714037601.535178
34,3.1268168025250964,-1.4609181720176123,-19404.0,-60000.0,-0.9998908390987318,1714037601.784901
35,2.951016261637305,-0.7435147503688907,-26302.0,-60000.0,-0.9818952152515863,1714037601.920029
36,2.991909602085249,1.373399612205741,-21204.0,60000.0,-0.9888183924623348,1714037602.1676207
37,-3.0148309777622244,0.5973696913139975,-26055.0,-60000.0,-0.9919764912356368,1714037602.418101
38,-2.9812172096138423,-0.12259631135951148,-21064.0,60000.0,-0.9871673987372203,1714037602.6672347
39,3.04242136385232,-1.1641685357092102,-26228.0,-60000.0,-0.9950865565806158,1714037602.9188337
40,2.8771170836110684,-1.1723209605704266,-33038.0,-60000.0,-0.9652297212449313,1714037603.052034
41,2.853551168904407,0.6481832929039432,-40180.0,-60000.0,-0.9588020791599488,1714037603.1918464
42,-3.0100229390111064,1.9877865572210935,-35115.0,60000.0,-0.9913571835888733,1714037603.4397044
43,-2.84916014708619,-1.4541390697411276,-40092.0,-60000.0,-0.9575454605461604,1714037603.69091
44,-3.053597802973911,-1.8875822684609374,-46867.0,-60000.0,-0.9961309506337119,1714037603.8233528
45,2.9764681185183797,-1.7741752143653848,-53416.0,-60000.0,-0.9863978925214576,1714037603.9513335
46,2.8771170836110684,0.9602660987173604,-48405.0,60000.0,-0.9652297212449313,1714037604.2006106
47,3.06218617310491,1.8616989562883322,-41738.0,60000.0,-0.9968489616608718,1714037604.3303432
48,-2.9852209614805907,1.3417237016953116,-35100.0,60000.0,-0.9877988393855428,1714037604.4581778
49,-2.843093722003614,0.5186621172695317,-28537.0,60000.0,-0.9557790087219501,1714037604.5853937
50,-2.865975532980517,-1.0150148197472446,-21933.0,60000.0,-0.9622574371637292,1714037604.7133744
51,-3.0245004074421,-2.5099369135696263,-15333.0,60000.0,-0.9931525318835882,1714037604.841265
52,3.022103321368838,-2.175250477648701,-8790.0,60000.0,-0.9928696395651302,1714037604.9681785
53,2.712414145588495,0.0,-13798.0,-60000.0,-0.9093078989577118,1714037605.2166266
54,2.798883857368102,1.2548338840143072,-20447.0,-60000.0,-0.9418478592925571,1714037605.3465993
55,-2.8599635880094447,3.426965744465664,-15340.0,60000.0,-0.9606039617844413,1714037605.5986388
