time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/clip_fraction
1,201.0,11,29.820725,185,2048,,,,,,,,,,
2,193.28571428571428,9,30.12861719047619,412,4096,10,7.267773997038603,3.330225706100464,-0.008052825927734375,1e-05,-0.002404561678849859,0.2,-4.615056157112122,0.00014797054,0.0
3,190.84375,9,28.82176025,650,6144,20,8.958598741889,4.597520351409912,-0.049710988998413086,1e-05,-0.0016153458280314225,0.2,-4.614894749224186,0.00010307311,0.0
