time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/approx_kl,train/clip_range,train/value_loss,train/explained_variance
135,-174.8102406,201.0,1,15,2048,,,,,,,,,,
320,-159.46381552380953,193.28571428571428,2,12,4096,-4.61507927775383,0.0,-0.0019283307970908935,10,1e-05,94.72207641601562,7.2880124e-05,0.2,188.18557724952697,-0.014927268028259277
512,-160.7840237096774,195.7741935483871,3,11,6144,-4.614996108412742,0.0,-0.0018257076939335094,20,1e-05,75.57820129394531,8.482367e-05,0.2,154.9722098827362,-0.01246178150177002
698,-160.67241707142858,194.16666666666666,4,11,8192,-4.614935128390789,0.0,-0.0017012762386002579,30,1e-05,97.1286392211914,5.4735516e-05,0.2,170.28418250083922,-0.04180765151977539
891,-160.83018550943396,192.50943396226415,5,11,10240,-4.6148601233959194,0.0,-0.00175152669326053,40,1e-05,87.08097839355469,6.533394e-05,0.2,179.12133297920226,-0.0024771690368652344
