,angle,angle_velocity,position,position_velocity,reward,time
0,2.712386947301274,-1.8273229439367122,-204.0,-15000.0,-0.9092965807625705,1713274406.9330711
1,2.6575455081120363,-1.7090439018852694,-567.0,-10000.0,-0.8851187761727122,1713274406.9627573
2,2.5684680373225897,-0.66621856389634,-1857.0,-46000.0,-0.8402107249964431,1713274407.0205276
3,2.5707680715906713,0.24340525977288768,-3408.0,-2000.0,-0.8414557181200059,1713274407.0876403
4,2.639546526799488,3.9380870591712798,-3946.0,-27000.0,-0.8765997600781446,1713274407.135927
5,2.7240811972705123,2.106881158596268,-4709.0,-13000.0,-0.9141008416538688,1713274407.176359
6,2.9418171993759734,8.52104041089168,-3911.0,42000.0,-0.9801111634940647,1713274407.2567234
7,-2.8872809028948025,3.725235407660003,-4055.0,-50000.0,-0.9678366742172501,1713274407.3778472
8,-2.7180362944006577,0.6699087828036849,-5805.0,5000.0,-0.9116330265077726,1713274407.4558938
9,-2.645463302428062,0.9748921466585974,-5177.0,26000.0,-0.879431671232056,1713274407.501995
10,-2.6258049479513166,0.8308117721352568,-4541.0,29000.0,-0.8699044798607796,1713274407.5291882
11,-2.5655648099407973,2.098920981080962,-3378.0,41000.0,-0.8386328820957821,1713274407.5670834
12,-2.500717390885786,-2.8012185100241696,-2882.0,-31000.0,-0.8015727478175391,1713274407.6648228
13,-2.555281571627792,-2.848808825870534,-3713.0,-34000.0,-0.832987390896129,1713274407.6937506
14,-2.678333285652069,-2.670637174168427,-4769.0,-14000.0,-0.894600750268289,1713274407.7409873
15,-2.832245563434636,-3.1238020199309138,-5425.0,-24000.0,-0.9525325426728164,1713274407.7787743
16,-3.0118710552837076,-2.2983406238796737,-5305.0,31000.0,-0.9915979456524732,1713274407.8560545
17,-1.0238450627178206,196.26714207364319,-4536.0,28000.0,0.5200856816891406,1713274407.8841395
18,3.0006497034969644,-3.499597015752089,-3797.0,14000.0,-0.9900839738115704,1713274407.9210947
19,2.8605743420937597,-2.5343580136998978,-4125.0,-26000.0,-0.9607735239383153,1713274407.9898984
20,2.577894987408533,-2.767774732437502,-4166.0,32000.0,-0.8452851741085056,1713274408.0670893
21,2.614512716479643,0.0,-4325.0,-42000.0,-0.864279579091207,1713274408.1658483
22,2.478500253280766,-5.956537987926463,-5669.0,-17000.0,-0.7880924544557294,1713274408.214013
23,2.6135834624254746,7.862119119508183,-6483.0,-29000.0,-0.863811780302752,1713274408.2528033
24,2.78254703962869,1.7787679769430307,-7242.0,6000.0,-0.9362326030049495,1713274408.3090703
25,2.981299406611581,4.027317908829645,-8545.0,-46000.0,-0.9871805213459252,1713274408.3868296
26,-3.056054140716114,-106.27334442670161,-10149.0,-6000.0,-0.9963438115348017,1713274408.4542613
27,-2.9410754761472293,2.685402410859419,-10908.0,-30000.0,-0.9799636994789761,1713274408.5021625
28,-2.8487419898285595,2.7914410433307846,-11748.0,-11000.0,-0.9574248294929321,1713274408.5398095
29,-2.7217970824666278,2.801690588716176,-12312.0,-21000.0,-0.9131722792436386,1713274408.5769086
30,-2.6347020231394906,3.8093506362676286,-12872.0,-25000.0,-0.8742582097444793,1713274408.604859
31,-2.5693785260595132,0.23689058387720016,-12481.0,41000.0,-0.8407040983128877,1713274408.691169
32,-2.5953324952959282,-0.6432003938234477,-11376.0,-16000.0,-0.8544733231264758,1713274408.7699466
33,-2.557011521076974,2.4027756476744595,-11639.0,8000.0,-0.8339433111105936,1713274408.8173547
34,-2.7940207954529277,-2.42639625839808,-12837.0,-49000.0,-0.9402025473405804,1713274408.8958912
35,-2.934032442623233,-3.7763088054699385,-14455.0,-23000.0,-0.978536601499572,1713274408.944072
36,-2.0539731488907846,98.9468663330066,-15015.0,5000.0,-0.46459466568981456,1713274408.9921098
37,2.9989759084105674,-4.2082111847230195,-13970.0,39000.0,-0.989847457678358,1713274409.048167
38,2.8464204663051214,-1.8418480492102427,-12650.0,17000.0,-0.9567520664320671,1713274409.099216
39,2.6279120896228245,-6.017961907779963,-13176.0,-38000.0,-0.8709418327856763,1713274409.177234
40,2.5451913297916566,1.958269742807996,-13013.0,46000.0,-0.8273622317189707,1713274409.2842858
41,2.6665655552586958,-1.0391347635882922,-12101.0,-33000.0,-0.889280328187992,1713274409.3825839
42,2.658962801203494,0.3421177579529064,-12954.0,-34000.0,-0.885777445830899,1713274409.4113905
43,2.880947961968518,6.458467170509641,-13856.0,14000.0,-0.9662240396391812,1713274409.4804103
44,3.0830870695752544,3.5800573059078564,-12353.0,45000.0,-0.9982890364416719,1713274409.5393329
45,-3.0364146431706835,6.390676457411951,-10915.0,18000.0,-0.9944738902239515,1713274409.587422
46,-2.832280678884942,4.05714734037452,-9740.0,38000.0,-0.9525432325202751,1713274409.6342719
47,-2.6193712806199785,2.0354356349209897,-9055.0,-22000.0,-0.866713283352886,1713274409.7222157
48,-2.517507478672116,0.43068513076467424,-9178.0,24000.0,-0.8114980417419487,1713274409.789297
49,-2.4982676847219705,1.197842652417724,-8591.0,28000.0,-0.8001056715446212,1713274409.8162432
50,-2.5857669563596577,-1.2952070280152579,-8439.0,-29000.0,-0.8494650549750458,1713274409.8934479
51,-2.6970225330713506,-0.2675280374833503,-8741.0,30000.0,-0.9027956270012636,1713274409.9711976
52,-2.982221506947409,-2.5542093443941276,-8699.0,-35000.0,-0.9873272759554432,1713274410.0584486
53,3.022399276849997,-4.659603973333133,-9384.0,23000.0,-0.9929048755132986,1713274410.1351876
54,2.810317923703898,-0.9488691297657083,-9161.0,-20000.0,-0.945628507678484,1713274410.2033935
