rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/explained_variance,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss
-173.4336322,140,14,201.0,2048,1,,,,,,,,,,
-167.57741314285715,332,12,193.28571428571428,4096,2,-0.13593292236328125,0.0,186.57526130676268,5.5550918e-05,-4.615082615613938,10,0.2,1e-05,93.27061462402344,-0.001675558788701892
-162.199551,523,11,190.84375,6144,3,-0.10308122634887695,0.0,192.25336933135986,7.856099e-05,-4.615013375878334,20,0.2,1e-05,89.26445770263672,-0.0019712710622115993
-163.18580846511628,715,11,189.65116279069767,8192,4,-0.059771180152893066,0.0,169.3483407497406,6.328753e-05,-4.6149391934275625,30,0.2,1e-05,76.87722778320312,-0.0018867850085371174
-162.94028905555555,905,11,188.94444444444446,10240,5,-0.07829058170318604,0.0,198.30173368453978,5.6777644e-05,-4.614877001941204,40,0.2,1e-05,92.6983413696289,-0.0018006434343988075
