time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance
31,4,14188,63488,22.730500300000003,178.96,5.403593443334103,-4.612484388053417,300,1e-05,2.7411787509918213,9.52961e-05,-0.002130828542431118,0.0,0.2,0.13057422637939453
32,4,14617,65536,23.02644269,181.15,6.711481002718211,-4.612327079474926,310,1e-05,3.3108956813812256,7.7658275e-05,-0.0019678427765029483,0.0,0.2,0.29701870679855347
33,4,15071,67584,23.880858649999997,182.91,5.867547120898962,-4.6120796471834185,320,1e-05,2.45452618598938,0.0001035477,-0.00226195467839716,0.0,0.2,0.3001825213432312
34,4,15518,69632,25.9174397,185.06,9.11355240046978,-4.611973166465759,330,1e-05,3.720811367034912,4.8798887e-05,-0.00157004296706873,0.0,0.2,-0.11319422721862793
35,4,15980,71680,26.922651799999997,182.74,11.96703265607357,-4.611992946267128,340,1e-05,6.052720069885254,5.1993673e-05,-0.0016252618755970617,0.0,0.2,-0.10301423072814941
36,4,16441,73728,28.417411770000005,180.88,10.784374889731406,-4.612032094597817,350,1e-05,6.15010929107666,7.304255e-05,-0.002023799135349691,0.0,0.2,0.0721508264541626
37,4,16903,75776,29.942946130000006,177.4,15.69575469493866,-4.612076872587204,360,1e-05,9.230224609375,4.8653834e-05,-0.001604686903010588,0.0,0.2,0.05088984966278076
38,4,17363,77824,30.85336763,175.7,12.028742712736129,-4.612014591693878,370,1e-05,5.402456283569336,5.9789774e-05,-0.001672612317634048,0.0,0.2,0.19000554084777832
39,4,17825,79872,32.304538629999996,175.87,13.550949518382549,-4.611788018047809,380,1e-05,5.388148784637451,7.655652e-05,-0.0020118192122026814,0.0,0.2,-0.2552499771118164
40,4,18291,81920,33.49543937,175.39,9.840594489872455,-4.61175557076931,390,1e-05,6.859437942504883,4.8845075e-05,-0.0015484965908399318,0.0,0.2,-0.0218045711517334
41,4,18738,83968,33.42589907000001,174.13,12.688802176713944,-4.611652341485024,400,1e-05,5.4931182861328125,9.135259e-05,-0.002212330076145008,0.0,0.2,-0.17265403270721436
42,4,19194,86016,32.698846980000006,174.27,9.099136124551297,-4.6115174978971485,410,1e-05,5.064648151397705,0.000104622595,-0.0022515837685205043,0.0,0.2,0.4107822775840759
43,4,19642,88064,32.503909990000004,175.29,7.542804434895515,-4.611308661103249,420,1e-05,4.175932884216309,0.000140894,-0.002796424672123976,0.0,0.2,0.4898574948310852
44,4,20093,90112,33.13358547,175.92,9.387953850626946,-4.611172419786453,430,1e-05,4.940614223480225,9.4692485e-05,-0.002146182100113947,0.0,0.2,0.43584251403808594
45,4,20560,92160,32.660578609999995,175.74,14.906573879718781,-4.610959163308143,440,1e-05,6.137124061584473,6.0659077e-05,-0.0016865919475094414,0.0,0.2,-0.3014017343521118
46,4,21010,94208,32.856781579999996,180.61,10.896951445937157,-4.610962122678757,450,1e-05,6.039209842681885,9.5490745e-05,-0.0022229194146348163,0.0,0.2,0.22776687145233154
47,4,21472,96256,32.99581055,180.79,10.199659970402717,-4.610785168409348,460,1e-05,3.4596030712127686,9.518175e-05,-0.002130291520006722,0.0,0.2,0.3968064785003662
48,4,21936,98304,32.84354883,181.1,12.267012920975684,-4.610439045727253,470,1e-05,6.7753705978393555,8.511849e-05,-0.001968941424274817,0.0,0.2,-0.002491474151611328
49,4,22407,100352,33.0764816,179.55,8.599202969670296,-4.610554447770118,480,1e-05,4.308352947235107,0.00011764158,-0.002390459251910215,0.0,0.2,-0.1028980016708374
50,4,22860,102400,34.055193530000004,181.93,14.843328443169593,-4.6103646665811535,490,1e-05,6.866994857788086,5.4595526e-05,-0.0015219125889416318,0.0,0.2,-0.12147879600524902
51,4,23315,104448,34.600936690000005,181.48,12.47319827079773,-4.610032705962658,500,1e-05,6.668845176696777,0.000107645756,-0.0023571966725285166,0.0,0.2,-0.04164779186248779
52,4,23782,106496,35.48950963,179.34,11.148736530542374,-4.60994214117527,510,1e-05,5.2042083740234375,9.450226e-05,-0.002230821048578946,0.0,0.2,0.3719293475151062
53,4,24235,108544,35.30514711,178.84,17.05360563993454,-4.609852407872677,520,1e-05,7.32087516784668,5.7625497e-05,-0.0015357357035099995,0.0,0.2,-0.1886146068572998
54,4,24695,110592,36.045152810000005,180.51,16.896730920672418,-4.609520661830902,530,1e-05,6.0478925704956055,6.583793e-05,-0.0018842873076209798,0.0,0.2,0.28506261110305786
55,4,25142,112640,36.13447847,179.71,13.463029728829861,-4.6094796597957615,540,1e-05,9.14620590209961,0.00011477186,-0.002290836803149432,0.0,0.2,0.12871158123016357
56,4,25591,114688,37.04483386,180.6,11.357425002753734,-4.609091223776341,550,1e-05,7.986361503601074,0.00017860497,-0.003126705764589133,0.0,0.2,0.14394086599349976
57,4,26044,116736,37.76491743,181.04,15.733012121915817,-4.6087944358587265,560,1e-05,7.78986120223999,7.335463e-05,-0.0017843120833276771,0.0,0.2,-0.05607771873474121
58,4,26505,118784,37.55855866,182.63,10.718015149235725,-4.608472709357739,570,1e-05,5.568408012390137,9.8244665e-05,-0.0022965310105064417,0.0,0.2,-0.0015327930450439453
59,4,26955,120832,37.86485444,183.94,8.375397597253322,-4.608607915043831,580,1e-05,2.723414897918701,0.000111450936,-0.0022707268835802097,0.0,0.2,0.26967543363571167
60,4,27405,122880,37.377547799999995,182.47,12.008651703596115,-4.607916237413884,590,1e-05,7.499560356140137,0.00011292851,-0.002299439805210568,0.0,0.2,0.405483603477478
61,4,27867,124928,35.8303582,184.36,9.522315567731857,-4.607754790782929,600,1e-05,4.62216854095459,0.0002139316,-0.0034213510269182736,0.0,0.2,-0.22727978229522705
62,4,28316,126976,34.902198780000006,185.4,8.458332739770412,-4.607375007867813,610,1e-05,3.918865919113159,0.00015946402,-0.0029289603495271876,0.0,0.2,0.14897364377975464
63,4,28793,129024,33.94507814,184.17,10.80642574429512,-4.606820414960384,620,1e-05,4.996368408203125,0.00012546079,-0.002430558320338605,0.0,0.2,0.15026462078094482
64,4,29255,131072,33.94304885,185.65,6.738924465328455,-4.607697682082653,630,1e-05,3.498866081237793,0.00013623663,-0.0027383764303522185,0.0,0.2,-0.26584064960479736
65,4,29714,133120,33.045785110000004,187.22,12.418586784601212,-4.606793829798699,640,1e-05,5.981802463531494,0.00011314495,-0.0022732876241207123,0.0,0.2,0.05275636911392212
66,4,30161,135168,32.51031994,186.93,8.583412444591522,-4.606300881505012,650,1e-05,5.146928310394287,0.00013210587,-0.002392786707787309,0.0,0.2,0.33971107006073
67,4,30618,137216,32.45005519,187.37,11.270003290474415,-4.605906309187413,660,1e-05,6.582362651824951,0.000101827056,-0.0020244830957381055,0.0,0.2,0.1340147852897644
68,4,31079,139264,31.63829522,184.09,9.964069996774196,-4.606096521019936,670,1e-05,5.245378494262695,9.739309e-05,-0.0019962521269917487,0.0,0.2,0.24203437566757202
69,4,31537,141312,31.643333260000006,184.33,11.786962865293026,-4.60587612837553,680,1e-05,6.384957790374756,9.33657e-05,-0.002025908424548106,0.0,0.2,0.2150954008102417
70,4,31997,143360,31.58731134,183.74,8.765459179878235,-4.605817268788814,690,1e-05,3.8754584789276123,0.00013902577,-0.002460818142571952,0.0,0.2,0.3331407308578491
71,4,32451,145408,31.225369769999997,182.75,6.586080604791642,-4.606166122853756,700,1e-05,3.0283889770507812,0.00022555536,-0.0037448140821652485,0.0,0.2,0.5743484199047089
72,4,32909,147456,32.15281541,185.8,8.554501096904279,-4.605732928216457,710,1e-05,3.965768337249756,0.00012670885,-0.0024368526275793554,0.0,0.2,0.32625430822372437
73,4,33361,149504,31.667635070000003,184.09,10.052936264872551,-4.605583667755127,720,1e-05,5.690975189208984,0.0001226071,-0.0026143814266106347,0.0,0.2,0.49667268991470337
74,4,33828,151552,31.455637900000003,181.96,9.804727832973004,-4.605043330788613,730,1e-05,4.131678581237793,9.580338e-05,-0.002008819583716104,0.0,0.2,0.018089652061462402
75,4,34282,153600,30.817667959999994,181.0,7.9948072016239164,-4.604730851948261,740,1e-05,3.1586270332336426,0.00017801329,-0.003057766175334109,0.0,0.2,0.4277270436286926
76,4,34737,155648,31.10603813,182.01,9.300757230818272,-4.604353441298008,750,1e-05,6.060762405395508,9.474554e-05,-0.0019237115717260166,0.0,0.2,0.1326603889465332
77,4,35189,157696,31.425868509999997,183.42,9.506122812628746,-4.603845350444317,760,1e-05,3.8846771717071533,8.3012215e-05,-0.0017362307677103671,0.0,0.2,0.29499393701553345
78,4,35659,159744,31.527554819999995,183.17,10.341708771884441,-4.603426885604859,770,1e-05,4.010583400726318,8.5867534e-05,-0.001979967623628909,0.0,0.2,0.2993404269218445
79,4,36110,161792,32.05972772,183.94,11.157122437655925,-4.602927225828171,780,1e-05,3.806394577026367,6.409839e-05,-0.0017376847346895375,0.0,0.2,0.39437294006347656
80,4,36553,163840,32.14254045999999,183.17,8.665941189229489,-4.602339431643486,790,1e-05,5.026450157165527,0.00012852161,-0.0023538956644188146,0.0,0.2,0.09404617547988892
81,4,37008,165888,31.768406350000006,183.94,10.563555473089218,-4.602382302284241,800,1e-05,5.2352070808410645,0.000107614236,-0.002070140664000064,0.0,0.2,0.3034491539001465
82,4,37469,167936,31.214752509999997,182.69,7.608318653702736,-4.601858919858932,810,1e-05,3.3488261699676514,0.00013293541,-0.0023959470920090096,0.0,0.2,0.24868172407150269
83,4,37927,169984,31.695685570000006,184.39,7.840886017680168,-4.601787860691547,820,1e-05,3.3777952194213867,0.00014072642,-0.002308051877480466,0.0,0.2,0.027899503707885742
84,4,38387,172032,32.07689728999999,186.5,6.664765433967114,-4.6015485867857935,830,1e-05,4.223496437072754,0.000121156016,-0.0022501553812617203,0.0,0.2,0.16708588600158691
85,4,38843,174080,32.412187589999995,185.5,7.579819169640541,-4.601779553294182,840,1e-05,3.493607759475708,0.0001488064,-0.0026728594268206505,0.0,0.2,0.00815492868423462
86,4,39294,176128,32.49402371,185.58,8.6743684977293,-4.601326361298561,850,1e-05,4.797978401184082,8.710034e-05,-0.001794233699911274,0.0,0.2,0.27796512842178345
87,4,39756,178176,32.88834308,186.43,10.544671075046063,-4.6010724529623985,860,1e-05,3.5911741256713867,8.092474e-05,-0.0020504534018982667,0.0,0.2,-0.36462950706481934
88,4,40224,180224,32.99912476,184.68,10.741889634728432,-4.601095303893089,870,1e-05,6.29115104675293,8.2772836e-05,-0.001876152441400336,0.0,0.2,0.18218612670898438
89,4,40675,182272,33.11161156,185.09,9.5122967004776,-4.600449258089066,880,1e-05,3.4738199710845947,8.9870766e-05,-0.0019642858736915515,0.0,0.2,-0.07472312450408936
90,4,41119,184320,33.392555550000004,184.32,10.820522359013557,-4.60022249519825,890,1e-05,4.6843037605285645,0.00010847574,-0.0021044771288870833,0.0,0.2,0.015896260738372803
91,4,41572,186368,34.07255925,184.22,10.115172106027604,-4.599740828573704,900,1e-05,5.6486310958862305,9.522753e-05,-0.001769668769702548,0.0,0.2,0.26926249265670776
92,4,42022,188416,34.489814349999996,185.42,10.418062762916088,-4.599485668540001,910,1e-05,4.879893779754639,0.00013118482,-0.0024453040910884737,0.0,0.2,-0.182814359664917
93,4,42472,190464,34.249644399999994,185.08,8.331340424716473,-4.598781770467758,920,1e-05,3.900336265563965,0.00016062969,-0.0025314356767921708,0.0,0.2,0.3598567247390747
94,4,42914,192512,34.403836049999995,184.39,7.944085593521595,-4.5992019951343535,930,1e-05,3.5186448097229004,0.00014583021,-0.002553622108825948,0.0,0.2,-0.031136393547058105
95,4,43378,194560,33.99834629,185.04,9.404463870823383,-4.598731006681919,940,1e-05,2.9911961555480957,7.73083e-05,-0.001759358677372802,0.0,0.2,0.25596994161605835
96,4,43837,196608,33.53716401,183.6,6.537092656642199,-4.598091351985931,950,1e-05,3.1380252838134766,0.00017143792,-0.0025547816243488342,0.0,0.2,-0.031740784645080566
97,4,44291,198656,33.70541531,185.97,8.686277312040328,-4.597712789475918,960,1e-05,3.5287482738494873,0.0001925939,-0.0029526933954912237,0.0,0.2,-0.14259612560272217
98,4,44747,200704,33.111366829999994,186.1,8.832617318630218,-4.596264486014843,970,1e-05,5.350555896759033,0.00014934142,-0.0025231431442080065,0.0,0.2,-0.19604814052581787
99,4,45220,202752,32.97496741,186.05,8.459400136768817,-4.595725463330746,980,1e-05,4.767828464508057,0.00015409151,-0.0024508184193109627,0.0,0.2,0.26190584897994995
100,4,45681,204800,32.707861439999995,187.45,8.06346357613802,-4.596627064049244,990,1e-05,3.8418128490448,0.00016424031,-0.0027966959460172802,0.0,0.2,-0.10241401195526123
101,4,46136,206848,32.6754568,185.71,9.092517518997193,-4.594429434835911,1000,1e-05,3.946132183074951,0.00011735904,-0.0021421821402327623,0.0,0.2,0.3025664687156677
102,4,46599,208896,32.86709061,184.46,10.305443613231182,-4.5934719175100325,1010,1e-05,5.977894306182861,0.00010432041,-0.0019102843551081605,0.0,0.2,0.23750388622283936
103,4,47049,210944,32.685022260000004,185.05,9.084200754761696,-4.593602104485035,1020,1e-05,6.207352638244629,0.00013954352,-0.0023054637873428873,0.0,0.2,0.1162564754486084
104,4,47505,212992,33.245532770000004,184.87,7.18478796929121,-4.592840890586376,1030,1e-05,3.290062427520752,0.00019035043,-0.0026584737664961723,0.0,0.2,0.05679243803024292
105,4,47957,215040,33.38348065,185.05,9.593743348121643,-4.59329184293747,1040,1e-05,4.3385844230651855,0.00015643612,-0.0027737220130802597,0.0,0.2,-0.29750168323516846
106,4,48417,217088,32.93467054999999,183.57,10.347351175546645,-4.5928297400474545,1050,1e-05,5.49375581741333,0.00010330186,-0.0021250673409667796,0.0,0.2,-0.05896782875061035
107,4,48870,219136,33.137361950000006,183.72,6.710142206400633,-4.592226433753967,1060,1e-05,3.6524248123168945,0.00020476375,-0.003057689650449902,0.0,0.2,0.21636664867401123
108,4,49332,221184,33.67101381,183.01,7.362902107834816,-4.590685632824898,1070,1e-05,2.7724862098693848,0.00013425265,-0.0024437713414954486,0.0,0.2,0.38635849952697754
109,4,49782,223232,33.95681929,183.65,10.245694528520108,-4.590408039093018,1080,1e-05,5.3699774742126465,7.9916965e-05,-0.0017002668464556336,0.0,0.2,-0.09918153285980225
110,4,50222,225280,33.62752529,184.7,7.309566363692284,-4.590894810855389,1090,1e-05,3.5210766792297363,0.00021744601,-0.003167883991409326,0.0,0.2,0.31807899475097656
111,4,50688,227328,34.2978795,185.39,8.168834204971791,-4.589729610085487,1100,1e-05,5.018514156341553,0.000110532215,-0.0020894071327347773,0.0,0.2,-0.2037966251373291
112,4,51148,229376,33.876032290000005,186.02,7.7077557981014255,-4.588694401085377,1110,1e-05,4.104417324066162,0.00013611274,-0.0022709437842422632,0.0,0.2,0.19143176078796387
113,4,51610,231424,33.8442896,186.33,7.087296360731125,-4.588248759508133,1120,1e-05,4.007451057434082,0.00017746707,-0.0026957938345731234,0.0,0.2,0.12994247674942017
114,4,52060,233472,33.36711131,186.54,8.561739278584719,-4.587701246142387,1130,1e-05,3.8140008449554443,0.00013689834,-0.0021476771478774028,0.0,0.2,-0.007356762886047363
115,4,52522,235520,33.7133804,185.8,8.046248430013657,-4.585007829964161,1140,1e-05,3.7513973712921143,0.00012728569,-0.0020679956789535934,0.0,0.2,-0.29254066944122314
116,4,52986,237568,34.22095427,186.99,9.061101213097572,-4.5860076025128365,1150,1e-05,5.637861728668213,0.00011279911,-0.002066240459680557,0.0,0.2,-0.015398740768432617
117,4,53450,239616,34.30249592999999,187.2,7.540816570073366,-4.585918842256069,1160,1e-05,4.237305164337158,0.00013741798,-0.00234049850696465,0.0,0.2,-0.012541651725769043
118,4,53920,241664,34.88138421,187.01,10.031111484766006,-4.584900829195976,1170,1e-05,6.775108814239502,7.265367e-05,-0.0016020571871194988,0.0,0.2,0.09297043085098267
119,4,54379,243712,35.01132699,186.57,9.441489864885806,-4.5861893996596335,1180,1e-05,4.851649284362793,8.749997e-05,-0.0018810230649251025,0.0,0.2,0.20153039693832397
120,4,54846,245760,34.95012747,187.13,8.081857007741927,-4.584485873579979,1190,1e-05,4.596236228942871,0.00016723122,-0.002630411367863417,0.0,0.2,-0.07359790802001953
121,4,55304,247808,35.23751629,186.47,8.61507316082716,-4.584528107941151,1200,1e-05,5.299056529998779,9.672885e-05,-0.001722585259267362,0.0,0.2,-0.0016405582427978516
122,4,55763,249856,34.79028401,186.31,8.60543737411499,-4.584514613449573,1210,1e-05,5.29966926574707,0.00015921329,-0.002338574789609993,0.0,0.2,-0.21312177181243896
123,4,56222,251904,35.144924960000004,185.54,8.581590530276298,-4.5844449430704115,1220,1e-05,3.565779447555542,0.00016838519,-0.0027685359986207914,0.0,0.2,0.10400575399398804
124,4,56675,253952,35.83889823,186.93,7.956141829490662,-4.584241198003292,1230,1e-05,3.102302312850952,0.000117827876,-0.002068006485933438,0.0,0.2,0.14494740962982178
125,4,57131,256000,35.90473958,186.5,10.130290727317334,-4.579852382838726,1240,1e-05,3.2806663513183594,0.000181363,-0.0027572215651161967,0.0,0.2,-0.15933501720428467
126,4,57589,258048,35.790206590000004,185.44,10.393054163455963,-4.579229126870632,1250,1e-05,4.543999671936035,0.000113384915,-0.0019288654471893095,0.0,0.2,-0.07158708572387695
127,4,58045,260096,34.63619849,186.55,8.434415929019451,-4.579789178073407,1260,1e-05,4.2978644371032715,0.00022041134,-0.002915488513826858,0.0,0.2,0.06728816032409668
128,4,58509,262144,33.25948490999999,185.49,7.502220628410578,-4.5775637239217755,1270,1e-05,2.8367700576782227,0.00013325602,-0.0020402081339852885,0.0,0.2,-0.16537880897521973
129,4,58972,264192,31.795648730000003,185.05,5.453203289955854,-4.577004173398018,1280,1e-05,2.5717380046844482,0.00027609992,-0.002956788774463348,0.0,0.2,0.021164357662200928
130,4,59420,266240,30.35045523,186.57,4.927819803357124,-4.578698714077473,1290,1e-05,2.906355142593384,0.00017479382,-0.0025463077690801583,0.0,0.2,0.04296022653579712
